area_name,year,sub_group_name,cases_property_recovered,cases_property_stolen
Madhya Pradesh,2005,4. Theft,7641,20660
Maharashtra,2005,4. Theft,15565,46598
Manipur,2005,4. Theft,28,243
Meghalaya,2005,4. Theft,108,431
Mizoram,2005,4. Theft,638,777
Nagaland,2005,4. Theft,72,278
Odisha,2005,4. Theft,3427,6743
Puducherry,2005,4. Theft,328,466
Punjab,2005,4. Theft,1691,2924
Rajasthan,2005,4. Theft,4548,13361
Sikkim,2005,4. Theft,27,77
Tamil Nadu,2005,4. Theft,14116,15851
Tripura,2005,4. Theft,57,325
Uttar Pradesh,2005,4. Theft,5425,17557
Uttarakhand,2005,4. Theft,537,1515
West Bengal,2005,4. Theft,3192,12124
Andaman & Nicobar Islands,2006,4. Theft,51,101
Andhra Pradesh,2006,4. Theft,12757,23211
Arunachal Pradesh,2006,4. Theft,172,451
Assam,2006,4. Theft,2116,7820
Bihar,2006,4. Theft,1882,11752
Chandigarh,2006,4. Theft,597,1234
Chhattisgarh,2006,4. Theft,1943,5262
Dadra & Nagar Haveli,2006,4. Theft,35,61
Daman & Diu,2006,4. Theft,15,63
Delhi,2006,4. Theft,6106,17498
Goa,2006,4. Theft,173,486
Gujarat,2006,4. Theft,5556,18331
Haryana,2006,4. Theft,4378,10513
Himachal Pradesh,2006,4. Theft,295,807
Jammu & Kashmir,2006,4. Theft,816,1937
Jharkhand,2006,4. Theft,1123,6173
Karnataka,2006,4. Theft,4970,14901
Kerala,2006,4. Theft,1833,5043
Lakshadweep,2006,4. Theft,11,17
Madhya Pradesh,2006,4. Theft,7931,21733
Maharashtra,2006,4. Theft,15590,46250
Manipur,2006,4. Theft,17,290
Meghalaya,2006,4. Theft,109,470
Mizoram,2006,4. Theft,596,740
Nagaland,2006,4. Theft,136,324
Odisha,2006,4. Theft,3619,6559
Puducherry,2006,4. Theft,293,560
Punjab,2006,4. Theft,1965,3945
Rajasthan,2006,4. Theft,4697,16460
Sikkim,2006,4. Theft,46,113
Tamil Nadu,2006,4. Theft,12704,13651
Tripura,2006,4. Theft,24,392
Uttar Pradesh,2006,4. Theft,5670,17665
Uttarakhand,2006,4. Theft,543,1369
West Bengal,2006,4. Theft,2254,12532
Andaman & Nicobar Islands,2007,4. Theft,34,112
Andhra Pradesh,2007,4. Theft,13265,23856
Arunachal Pradesh,2007,4. Theft,228,513
Assam,2007,4. Theft,2330,7754
Bihar,2007,4. Theft,1700,11795
Chandigarh,2007,4. Theft,612,1740
Chhattisgarh,2007,4. Theft,1995,5381
Dadra & Nagar Haveli,2007,4. Theft,38,87
Daman & Diu,2007,4. Theft,8,43
Delhi,2007,4. Theft,5690,17037
Goa,2007,4. Theft,160,484
Gujarat,2007,4. Theft,5657,18047
Haryana,2007,4. Theft,4489,11047
Himachal Pradesh,2007,4. Theft,363,1077
Jammu & Kashmir,2007,4. Theft,761,1756
Jharkhand,2007,4. Theft,1125,7067
Karnataka,2007,4. Theft,6278,14270
Kerala,2007,4. Theft,2210,5317
Lakshadweep,2007,4. Theft,3,20
Madhya Pradesh,2007,4. Theft,7829,22396
Maharashtra,2007,4. Theft,16072,47498
Manipur,2007,4. Theft,23,454
Meghalaya,2007,4. Theft,168,500
Mizoram,2007,4. Theft,598,732
Nagaland,2007,4. Theft,86,358
Odisha,2007,4. Theft,3305,6830
Puducherry,2007,4. Theft,375,787
Punjab,2007,4. Theft,2692,5171
Rajasthan,2007,4. Theft,4962,18008
Sikkim,2007,4. Theft,56,118
Tamil Nadu,2007,4. Theft,12058,13217
Tripura,2007,4. Theft,66,411
Uttar Pradesh,2007,4. Theft,5704,19325
Uttarakhand,2007,4. Theft,541,1500
West Bengal,2007,4. Theft,2558,13747
Andaman & Nicobar Islands,2008,4. Theft,63,128
Andhra Pradesh,2008,4. Theft,13446,24324
Arunachal Pradesh,2008,4. Theft,217,445
Assam,2008,4. Theft,2458,8012
Bihar,2008,4. Theft,2283,13206
Chandigarh,2008,4. Theft,568,1991
Chhattisgarh,2008,4. Theft,1979,6079
Dadra & Nagar Haveli,2008,4. Theft,28,54
Daman & Diu,2008,4. Theft,20,49
Delhi,2008,4. Theft,3876,18867
Goa,2008,4. Theft,195,595
Gujarat,2008,4. Theft,6145,20557
Haryana,2008,4. Theft,4381,12709
Himachal Pradesh,2008,4. Theft,468,1135
Jammu & Kashmir,2008,4. Theft,694,2073
Jharkhand,2008,4. Theft,1153,7269
Karnataka,2008,4. Theft,5082,17728
Kerala,2008,4. Theft,2348,5327
Lakshadweep,2008,4. Theft,2,8
Madhya Pradesh,2008,4. Theft,7995,24579
Maharashtra,2008,4. Theft,17453,52664
Manipur,2008,4. Theft,22,446
Meghalaya,2008,4. Theft,152,658
Mizoram,2008,4. Theft,597,734
Nagaland,2008,4. Theft,55,329
Odisha,2008,4. Theft,3681,7132
Puducherry,2008,4. Theft,300,688
Punjab,2008,4. Theft,2956,5468
Rajasthan,2008,4. Theft,5074,19014
Sikkim,2008,4. Theft,59,127
Tamil Nadu,2008,4. Theft,12950,15019
Tripura,2008,4. Theft,210,499
Uttar Pradesh,2008,4. Theft,6325,21370
Uttarakhand,2008,4. Theft,529,1532
West Bengal,2008,4. Theft,2716,17334
Andaman & Nicobar Islands,2009,4. Theft,68,134
Andhra Pradesh,2009,4. Theft,13133,23922
Arunachal Pradesh,2009,4. Theft,176,381
Assam,2009,4. Theft,2280,7644
Bihar,2009,4. Theft,2235,15221
Chandigarh,2009,4. Theft,495,1731
Chhattisgarh,2009,4. Theft,1944,5792
Dadra & Nagar Haveli,2009,4. Theft,22,63
Daman & Diu,2009,4. Theft,10,41
Delhi,2009,4. Theft,4325,21731
Goa,2009,4. Theft,212,840
Gujarat,2009,4. Theft,5664,19574
Haryana,2009,4. Theft,4316,12912
Himachal Pradesh,2009,4. Theft,354,820
Jammu & Kashmir,2009,4. Theft,1078,2517
Jharkhand,2009,4. Theft,1331,7716
Karnataka,2009,4. Theft,5397,20576
Kerala,2009,4. Theft,2507,5196
Lakshadweep,2009,4. Theft,3,10
Madhya Pradesh,2009,4. Theft,7473,23260
Maharashtra,2009,4. Theft,16426,50708
Manipur,2009,4. Theft,16,394
Meghalaya,2009,4. Theft,132,528
Mizoram,2009,4. Theft,581,761
Nagaland,2009,4. Theft,61,347
Odisha,2009,4. Theft,2935,7115
Puducherry,2009,4. Theft,418,711
Punjab,2009,4. Theft,2669,5513
Rajasthan,2009,4. Theft,2007,11817
Sikkim,2009,4. Theft,31,62
Tamil Nadu,2009,4. Theft,12899,15712
Tripura,2009,4. Theft,117,415
Uttar Pradesh,2009,4. Theft,5701,24983
Uttarakhand,2009,4. Theft,590,1340
West Bengal,2009,4. Theft,3168,17133
Andaman & Nicobar Islands,2010,4. Theft,51,121
Andhra Pradesh,2010,4. Theft,15080,26358
Arunachal Pradesh,2010,4. Theft,162,445
Assam,2010,4. Theft,1381,7860
Bihar,2010,4. Theft,2242,15544
Chandigarh,2010,4. Theft,468,1481
Chhattisgarh,2010,4. Theft,1895,5805
Dadra & Nagar Haveli,2010,4. Theft,20,63
Daman & Diu,2010,4. Theft,19,47
Delhi,2010,4. Theft,4509,23088
Goa,2010,4. Theft,313,1017
Gujarat,2010,4. Theft,5105,16725
Haryana,2010,4. Theft,4859,16266
Himachal Pradesh,2010,4. Theft,377,837
Jammu & Kashmir,2010,4. Theft,985,2490
Jharkhand,2010,4. Theft,1379,7090
Karnataka,2010,4. Theft,6480,20093
Kerala,2010,4. Theft,2110,4065
Lakshadweep,2010,4. Theft,2,4
Madhya Pradesh,2010,4. Theft,6682,21523
Maharashtra,2010,4. Theft,16765,52363
Manipur,2010,4. Theft,30,417
Meghalaya,2010,4. Theft,169,640
Mizoram,2010,4. Theft,701,813
Nagaland,2010,4. Theft,73,372
Odisha,2010,4. Theft,3454,7572
Puducherry,2010,4. Theft,266,534
Punjab,2010,4. Theft,2801,5407
Rajasthan,2010,4. Theft,4798,20981
Sikkim,2010,4. Theft,22,53
Tamil Nadu,2010,4. Theft,11584,14583
Tripura,2010,4. Theft,86,410
Uttar Pradesh,2010,4. Theft,5844,27487
Uttarakhand,2010,4. Theft,721,1779
West Bengal,2010,4. Theft,3515,19388
Andaman & Nicobar Islands,2001,7. Total Property Stolen & Recovered,54,143
Andhra Pradesh,2001,7. Total Property Stolen & Recovered,13418,25070
Arunachal Pradesh,2001,7. Total Property Stolen & Recovered,300,858
Assam,2001,7. Total Property Stolen & Recovered,2149,9778
Bihar,2001,7. Total Property Stolen & Recovered,3357,18503
Chandigarh,2001,7. Total Property Stolen & Recovered,714,1948
Chhattisgarh,2001,7. Total Property Stolen & Recovered,3298,9894
Dadra & Nagar Haveli,2001,7. Total Property Stolen & Recovered,43,106
Daman & Diu,2001,7. Total Property Stolen & Recovered,21,94
Delhi,2001,7. Total Property Stolen & Recovered,5893,25170
Goa,2001,7. Total Property Stolen & Recovered,289,1004
Gujarat,2001,7. Total Property Stolen & Recovered,7385,24410
Haryana,2001,7. Total Property Stolen & Recovered,5103,10536
Himachal Pradesh,2001,7. Total Property Stolen & Recovered,367,1573
Jammu & Kashmir,2001,7. Total Property Stolen & Recovered,833,3531
Jharkhand,2001,7. Total Property Stolen & Recovered,1411,5764
Karnataka,2001,7. Total Property Stolen & Recovered,6652,21039
Kerala,2001,7. Total Property Stolen & Recovered,3320,10442
Lakshadweep,2001,7. Total Property Stolen & Recovered,5,12
Madhya Pradesh,2001,7. Total Property Stolen & Recovered,11779,37554
Maharashtra,2001,7. Total Property Stolen & Recovered,20787,60173
Manipur,2001,7. Total Property Stolen & Recovered,47,455
Meghalaya,2001,7. Total Property Stolen & Recovered,191,713
Mizoram,2001,7. Total Property Stolen & Recovered,866,1516
Nagaland,2001,7. Total Property Stolen & Recovered,120,463
Odisha,2001,7. Total Property Stolen & Recovered,5068,10167
Puducherry,2001,7. Total Property Stolen & Recovered,303,651
Punjab,2001,7. Total Property Stolen & Recovered,3045,5950
Rajasthan,2001,7. Total Property Stolen & Recovered,7854,25326
Sikkim,2001,7. Total Property Stolen & Recovered,40,129
Tamil Nadu,2001,7. Total Property Stolen & Recovered,17295,24606
Tripura,2001,7. Total Property Stolen & Recovered,130,579
Uttar Pradesh,2001,7. Total Property Stolen & Recovered,9376,36711
Uttarakhand,2001,7. Total Property Stolen & Recovered,549,2346
West Bengal,2001,7. Total Property Stolen & Recovered,4359,18204
Andaman & Nicobar Islands,2002,7. Total Property Stolen & Recovered,37,110
Andhra Pradesh,2002,7. Total Property Stolen & Recovered,14067,28340
Arunachal Pradesh,2002,7. Total Property Stolen & Recovered,295,819
Assam,2002,7. Total Property Stolen & Recovered,2258,10269
Bihar,2002,7. Total Property Stolen & Recovered,3217,19333
Chandigarh,2002,7. Total Property Stolen & Recovered,604,2055
Chhattisgarh,2002,7. Total Property Stolen & Recovered,3068,8687
Dadra & Nagar Haveli,2002,7. Total Property Stolen & Recovered,69,132
Daman & Diu,2002,7. Total Property Stolen & Recovered,44,130
Delhi,2002,7. Total Property Stolen & Recovered,8250,22681
Goa,2002,7. Total Property Stolen & Recovered,220,951
Gujarat,2002,7. Total Property Stolen & Recovered,7433,24958
Haryana,2002,7. Total Property Stolen & Recovered,5230,10266
Himachal Pradesh,2002,7. Total Property Stolen & Recovered,372,1350
Jammu & Kashmir,2002,7. Total Property Stolen & Recovered,1059,3637
Jharkhand,2002,7. Total Property Stolen & Recovered,1743,7668
Karnataka,2002,7. Total Property Stolen & Recovered,7397,22219
Kerala,2002,7. Total Property Stolen & Recovered,3386,11246
Lakshadweep,2002,7. Total Property Stolen & Recovered,7,21
Madhya Pradesh,2002,7. Total Property Stolen & Recovered,13122,37451
Maharashtra,2002,7. Total Property Stolen & Recovered,19944,57544
Manipur,2002,7. Total Property Stolen & Recovered,28,429
Meghalaya,2002,7. Total Property Stolen & Recovered,158,758
Mizoram,2002,7. Total Property Stolen & Recovered,961,1499
Nagaland,2002,7. Total Property Stolen & Recovered,216,529
Odisha,2002,7. Total Property Stolen & Recovered,4014,9287
Puducherry,2002,7. Total Property Stolen & Recovered,255,675
Punjab,2002,7. Total Property Stolen & Recovered,3498,6038
Rajasthan,2002,7. Total Property Stolen & Recovered,6745,22730
Sikkim,2002,7. Total Property Stolen & Recovered,29,118
Tamil Nadu,2002,7. Total Property Stolen & Recovered,19263,25825
Tripura,2002,7. Total Property Stolen & Recovered,123,619
Uttar Pradesh,2002,7. Total Property Stolen & Recovered,8642,27826
Uttarakhand,2002,7. Total Property Stolen & Recovered,623,1939
West Bengal,2002,7. Total Property Stolen & Recovered,4274,19012
Andaman & Nicobar Islands,2003,7. Total Property Stolen & Recovered,40,128
Andhra Pradesh,2003,7. Total Property Stolen & Recovered,14975,33315
Arunachal Pradesh,2003,7. Total Property Stolen & Recovered,265,776
Assam,2003,7. Total Property Stolen & Recovered,2272,10298
Bihar,2003,7. Total Property Stolen & Recovered,2976,19211
Chandigarh,2003,7. Total Property Stolen & Recovered,775,1578
Chhattisgarh,2003,7. Total Property Stolen & Recovered,2757,8592
Dadra & Nagar Haveli,2003,7. Total Property Stolen & Recovered,58,132
Daman & Diu,2003,7. Total Property Stolen & Recovered,32,107
Delhi,2003,7. Total Property Stolen & Recovered,7847,20953
Goa,2003,7. Total Property Stolen & Recovered,325,847
Gujarat,2003,7. Total Property Stolen & Recovered,8716,29407
Haryana,2003,7. Total Property Stolen & Recovered,5541,10024
Himachal Pradesh,2003,7. Total Property Stolen & Recovered,406,1392
Jammu & Kashmir,2003,7. Total Property Stolen & Recovered,1143,3768
Jharkhand,2003,7. Total Property Stolen & Recovered,1827,7211
Karnataka,2003,7. Total Property Stolen & Recovered,6708,22463
Kerala,2003,7. Total Property Stolen & Recovered,3349,9843
Lakshadweep,2003,7. Total Property Stolen & Recovered,3,14
Madhya Pradesh,2003,7. Total Property Stolen & Recovered,12178,35947
Maharashtra,2003,7. Total Property Stolen & Recovered,20159,57118
Manipur,2003,7. Total Property Stolen & Recovered,29,423
Meghalaya,2003,7. Total Property Stolen & Recovered,103,728
Mizoram,2003,7. Total Property Stolen & Recovered,1348,2063
Nagaland,2003,7. Total Property Stolen & Recovered,163,437
Odisha,2003,7. Total Property Stolen & Recovered,4607,9462
Puducherry,2003,7. Total Property Stolen & Recovered,288,720
Punjab,2003,7. Total Property Stolen & Recovered,3895,6806
Rajasthan,2003,7. Total Property Stolen & Recovered,6845,23652
Sikkim,2003,7. Total Property Stolen & Recovered,30,127
Tamil Nadu,2003,7. Total Property Stolen & Recovered,18758,24082
Tripura,2003,7. Total Property Stolen & Recovered,108,576
Uttar Pradesh,2003,7. Total Property Stolen & Recovered,6363,18012
Uttarakhand,2003,7. Total Property Stolen & Recovered,672,1948
West Bengal,2003,7. Total Property Stolen & Recovered,4340,15618
Andaman & Nicobar Islands,2004,7. Total Property Stolen & Recovered,95,175
Andhra Pradesh,2004,7. Total Property Stolen & Recovered,15744,32463
Arunachal Pradesh,2004,7. Total Property Stolen & Recovered,182,730
Assam,2004,7. Total Property Stolen & Recovered,2264,10575
Bihar,2004,7. Total Property Stolen & Recovered,3228,21673
Chandigarh,2004,7. Total Property Stolen & Recovered,849,1775
Chhattisgarh,2004,7. Total Property Stolen & Recovered,3383,10548
Dadra & Nagar Haveli,2004,7. Total Property Stolen & Recovered,50,112
Daman & Diu,2004,7. Total Property Stolen & Recovered,22,72
Delhi,2004,7. Total Property Stolen & Recovered,9593,24902
Goa,2004,7. Total Property Stolen & Recovered,312,846
Gujarat,2004,7. Total Property Stolen & Recovered,8292,28241
Haryana,2004,7. Total Property Stolen & Recovered,5474,10821
Himachal Pradesh,2004,7. Total Property Stolen & Recovered,481,1541
Jammu & Kashmir,2004,7. Total Property Stolen & Recovered,1039,3621
Jharkhand,2004,7. Total Property Stolen & Recovered,1743,7668
Karnataka,2004,7. Total Property Stolen & Recovered,7106,24265
Kerala,2004,7. Total Property Stolen & Recovered,3824,10598
Lakshadweep,2004,7. Total Property Stolen & Recovered,3,7
Madhya Pradesh,2004,7. Total Property Stolen & Recovered,13442,37646
Maharashtra,2004,7. Total Property Stolen & Recovered,21721,65025
Manipur,2004,7. Total Property Stolen & Recovered,31,392
Meghalaya,2004,7. Total Property Stolen & Recovered,135,711
Mizoram,2004,7. Total Property Stolen & Recovered,640,876
Nagaland,2004,7. Total Property Stolen & Recovered,99,281
Odisha,2004,7. Total Property Stolen & Recovered,4759,10415
Puducherry,2004,7. Total Property Stolen & Recovered,464,730
Punjab,2004,7. Total Property Stolen & Recovered,2935,5355
Rajasthan,2004,7. Total Property Stolen & Recovered,6796,24551
Sikkim,2004,7. Total Property Stolen & Recovered,42,168
Tamil Nadu,2004,7. Total Property Stolen & Recovered,18546,22489
Tripura,2004,7. Total Property Stolen & Recovered,94,577
Uttar Pradesh,2004,7. Total Property Stolen & Recovered,8479,26487
Uttarakhand,2004,7. Total Property Stolen & Recovered,658,2181
West Bengal,2004,7. Total Property Stolen & Recovered,4854,17679
Andaman & Nicobar Islands,2005,7. Total Property Stolen & Recovered,80,172
Andhra Pradesh,2005,7. Total Property Stolen & Recovered,17962,32858
Arunachal Pradesh,2005,7. Total Property Stolen & Recovered,247,949
Assam,2005,7. Total Property Stolen & Recovered,2881,10589
Bihar,2005,7. Total Property Stolen & Recovered,3206,20015
Chandigarh,2005,7. Total Property Stolen & Recovered,806,1796
Chhattisgarh,2005,7. Total Property Stolen & Recovered,3744,10154
Dadra & Nagar Haveli,2005,7. Total Property Stolen & Recovered,66,126
Daman & Diu,2005,7. Total Property Stolen & Recovered,24,100
Delhi,2005,7. Total Property Stolen & Recovered,10505,24493
Goa,2005,7. Total Property Stolen & Recovered,273,854
Gujarat,2005,7. Total Property Stolen & Recovered,8366,26642
Haryana,2005,7. Total Property Stolen & Recovered,6343,13584
Himachal Pradesh,2005,7. Total Property Stolen & Recovered,479,1551
Jammu & Kashmir,2005,7. Total Property Stolen & Recovered,979,3544
Jharkhand,2005,7. Total Property Stolen & Recovered,1885,8814
Karnataka,2005,7. Total Property Stolen & Recovered,7973,25185
Kerala,2005,7. Total Property Stolen & Recovered,3532,10952
Lakshadweep,2005,7. Total Property Stolen & Recovered,2,9
Madhya Pradesh,2005,7. Total Property Stolen & Recovered,12822,34691
Maharashtra,2005,7. Total Property Stolen & Recovered,23704,70162
Manipur,2005,7. Total Property Stolen & Recovered,34,389
Meghalaya,2005,7. Total Property Stolen & Recovered,154,747
Mizoram,2005,7. Total Property Stolen & Recovered,963,1270
Nagaland,2005,7. Total Property Stolen & Recovered,130,492
Odisha,2005,7. Total Property Stolen & Recovered,5528,11276
Puducherry,2005,7. Total Property Stolen & Recovered,377,549
Punjab,2005,7. Total Property Stolen & Recovered,3406,5700
Rajasthan,2005,7. Total Property Stolen & Recovered,6921,19690
Sikkim,2005,7. Total Property Stolen & Recovered,40,166
Tamil Nadu,2005,7. Total Property Stolen & Recovered,17227,20352
Tripura,2005,7. Total Property Stolen & Recovered,107,640
Uttar Pradesh,2005,7. Total Property Stolen & Recovered,7898,23644
Uttarakhand,2005,7. Total Property Stolen & Recovered,717,2186
West Bengal,2005,7. Total Property Stolen & Recovered,4435,15448
Andaman & Nicobar Islands,2006,7. Total Property Stolen & Recovered,81,191
Andhra Pradesh,2006,7. Total Property Stolen & Recovered,16837,32815
Arunachal Pradesh,2006,7. Total Property Stolen & Recovered,334,871
Assam,2006,7. Total Property Stolen & Recovered,3159,12583
Bihar,2006,7. Total Property Stolen & Recovered,3182,20326
Chandigarh,2006,7. Total Property Stolen & Recovered,834,1648
Chhattisgarh,2006,7. Total Property Stolen & Recovered,3515,9688
Dadra & Nagar Haveli,2006,7. Total Property Stolen & Recovered,57,152
Daman & Diu,2006,7. Total Property Stolen & Recovered,26,144
Delhi,2006,7. Total Property Stolen & Recovered,9851,24041
Goa,2006,7. Total Property Stolen & Recovered,240,801
Gujarat,2006,7. Total Property Stolen & Recovered,8903,27217
Haryana,2006,7. Total Property Stolen & Recovered,7695,16375
Himachal Pradesh,2006,7. Total Property Stolen & Recovered,504,1752
Jammu & Kashmir,2006,7. Total Property Stolen & Recovered,1068,3531
Jharkhand,2006,7. Total Property Stolen & Recovered,1730,9625
Karnataka,2006,7. Total Property Stolen & Recovered,7752,23164
Kerala,2006,7. Total Property Stolen & Recovered,3087,10564
Lakshadweep,2006,7. Total Property Stolen & Recovered,12,19
Madhya Pradesh,2006,7. Total Property Stolen & Recovered,12874,35604
Maharashtra,2006,7. Total Property Stolen & Recovered,24180,70004
Manipur,2006,7. Total Property Stolen & Recovered,36,538
Meghalaya,2006,7. Total Property Stolen & Recovered,161,758
Mizoram,2006,7. Total Property Stolen & Recovered,895,1203
Nagaland,2006,7. Total Property Stolen & Recovered,196,511
Odisha,2006,7. Total Property Stolen & Recovered,5927,11465
Puducherry,2006,7. Total Property Stolen & Recovered,347,657
Punjab,2006,7. Total Property Stolen & Recovered,3998,7388
Rajasthan,2006,7. Total Property Stolen & Recovered,7192,22623
Sikkim,2006,7. Total Property Stolen & Recovered,61,216
Tamil Nadu,2006,7. Total Property Stolen & Recovered,15620,17787
Tripura,2006,7. Total Property Stolen & Recovered,228,898
Uttar Pradesh,2006,7. Total Property Stolen & Recovered,8133,23845
Uttarakhand,2006,7. Total Property Stolen & Recovered,723,1922
West Bengal,2006,7. Total Property Stolen & Recovered,3600,15721
Andaman & Nicobar Islands,2007,7. Total Property Stolen & Recovered,63,223
Andhra Pradesh,2007,7. Total Property Stolen & Recovered,17746,32739
Arunachal Pradesh,2007,7. Total Property Stolen & Recovered,386,896
Assam,2007,7. Total Property Stolen & Recovered,3407,17809
Bihar,2007,7. Total Property Stolen & Recovered,2778,19494
Chandigarh,2007,7. Total Property Stolen & Recovered,808,2201
Chhattisgarh,2007,7. Total Property Stolen & Recovered,3605,9837
Dadra & Nagar Haveli,2007,7. Total Property Stolen & Recovered,63,146
Daman & Diu,2007,7. Total Property Stolen & Recovered,16,105
Delhi,2007,7. Total Property Stolen & Recovered,8449,23713
Goa,2007,7. Total Property Stolen & Recovered,237,845
Gujarat,2007,7. Total Property Stolen & Recovered,8735,26069
Haryana,2007,7. Total Property Stolen & Recovered,7895,17536
Himachal Pradesh,2007,7. Total Property Stolen & Recovered,557,2114
Jammu & Kashmir,2007,7. Total Property Stolen & Recovered,1267,3808
Jharkhand,2007,7. Total Property Stolen & Recovered,1582,10245
Karnataka,2007,7. Total Property Stolen & Recovered,9429,22130
Kerala,2007,7. Total Property Stolen & Recovered,3763,12938
Madhya Pradesh,2007,7. Total Property Stolen & Recovered,13069,36934
Maharashtra,2007,7. Total Property Stolen & Recovered,25106,71909
Manipur,2007,7. Total Property Stolen & Recovered,24,893
Meghalaya,2007,7. Total Property Stolen & Recovered,331,862
Mizoram,2007,7. Total Property Stolen & Recovered,950,1281
Nagaland,2007,7. Total Property Stolen & Recovered,116,576
Odisha,2007,7. Total Property Stolen & Recovered,5667,12945
Puducherry,2007,7. Total Property Stolen & Recovered,419,891
Punjab,2007,7. Total Property Stolen & Recovered,5104,9213
Rajasthan,2007,7. Total Property Stolen & Recovered,7725,25019
Sikkim,2007,7. Total Property Stolen & Recovered,73,214
Tamil Nadu,2007,7. Total Property Stolen & Recovered,15374,17875
Tripura,2007,7. Total Property Stolen & Recovered,132,744
Uttar Pradesh,2007,7. Total Property Stolen & Recovered,9068,26858
Uttarakhand,2007,7. Total Property Stolen & Recovered,780,2185
West Bengal,2007,7. Total Property Stolen & Recovered,3568,17277
Andaman & Nicobar Islands,2008,7. Total Property Stolen & Recovered,112,232
Andhra Pradesh,2008,7. Total Property Stolen & Recovered,18274,34242
Arunachal Pradesh,2008,7. Total Property Stolen & Recovered,401,871
Assam,2008,7. Total Property Stolen & Recovered,3857,13896
Bihar,2008,7. Total Property Stolen & Recovered,3414,21324
Chandigarh,2008,7. Total Property Stolen & Recovered,810,2529
Chhattisgarh,2008,7. Total Property Stolen & Recovered,3671,11111
Dadra & Nagar Haveli,2008,7. Total Property Stolen & Recovered,66,138
Daman & Diu,2008,7. Total Property Stolen & Recovered,31,107
Delhi,2008,7. Total Property Stolen & Recovered,5674,24583
Goa,2008,7. Total Property Stolen & Recovered,293,1021
Gujarat,2008,7. Total Property Stolen & Recovered,9316,28840
Haryana,2008,7. Total Property Stolen & Recovered,7704,19382
Himachal Pradesh,2008,7. Total Property Stolen & Recovered,658,2214
Jammu & Kashmir,2008,7. Total Property Stolen & Recovered,1098,3694
Jharkhand,2008,7. Total Property Stolen & Recovered,1657,10132
Karnataka,2008,7. Total Property Stolen & Recovered,8160,26727
Kerala,2008,7. Total Property Stolen & Recovered,3879,12318
Lakshadweep,2008,7. Total Property Stolen & Recovered,3,11
Madhya Pradesh,2008,7. Total Property Stolen & Recovered,13504,39064
Maharashtra,2008,7. Total Property Stolen & Recovered,26935,78569
Manipur,2008,7. Total Property Stolen & Recovered,29,910
Meghalaya,2008,7. Total Property Stolen & Recovered,296,1238
Mizoram,2008,7. Total Property Stolen & Recovered,893,1154
Nagaland,2008,7. Total Property Stolen & Recovered,80,563
Odisha,2008,7. Total Property Stolen & Recovered,5905,12182
Puducherry,2008,7. Total Property Stolen & Recovered,375,813
Punjab,2008,7. Total Property Stolen & Recovered,5702,9642
Rajasthan,2008,7. Total Property Stolen & Recovered,7409,24813
Sikkim,2008,7. Total Property Stolen & Recovered,76,222
Tamil Nadu,2008,7. Total Property Stolen & Recovered,16221,19918
Tripura,2008,7. Total Property Stolen & Recovered,307,902
Uttar Pradesh,2008,7. Total Property Stolen & Recovered,9846,29291
Uttarakhand,2008,7. Total Property Stolen & Recovered,759,2033
West Bengal,2008,7. Total Property Stolen & Recovered,4109,21809
Andaman & Nicobar Islands,2009,7. Total Property Stolen & Recovered,106,238
Andhra Pradesh,2009,7. Total Property Stolen & Recovered,17384,33162
Arunachal Pradesh,2009,7. Total Property Stolen & Recovered,327,715
Assam,2009,7. Total Property Stolen & Recovered,3171,13289
Bihar,2009,7. Total Property Stolen & Recovered,3400,23314
Chandigarh,2009,7. Total Property Stolen & Recovered,669,2275
Chhattisgarh,2009,7. Total Property Stolen & Recovered,3792,10776
Dadra & Nagar Haveli,2009,7. Total Property Stolen & Recovered,62,154
Daman & Diu,2009,7. Total Property Stolen & Recovered,19,84
Delhi,2009,7. Total Property Stolen & Recovered,6367,26693
Goa,2009,7. Total Property Stolen & Recovered,319,1242
Gujarat,2009,7. Total Property Stolen & Recovered,8487,27407
Haryana,2009,7. Total Property Stolen & Recovered,7569,19595
Himachal Pradesh,2009,7. Total Property Stolen & Recovered,536,1804
Jammu & Kashmir,2009,7. Total Property Stolen & Recovered,1522,4341
Jharkhand,2009,7. Total Property Stolen & Recovered,1953,10989
Karnataka,2009,7. Total Property Stolen & Recovered,8933,30575
Kerala,2009,7. Total Property Stolen & Recovered,4479,11943
Lakshadweep,2009,7. Total Property Stolen & Recovered,11,58
Madhya Pradesh,2009,7. Total Property Stolen & Recovered,12714,37513
Maharashtra,2009,7. Total Property Stolen & Recovered,26097,77240
Manipur,2009,7. Total Property Stolen & Recovered,33,698
Meghalaya,2009,7. Total Property Stolen & Recovered,201,895
Mizoram,2009,7. Total Property Stolen & Recovered,820,1213
Nagaland,2009,7. Total Property Stolen & Recovered,88,770
Odisha,2009,7. Total Property Stolen & Recovered,4873,12250
Puducherry,2009,7. Total Property Stolen & Recovered,484,807
Punjab,2009,7. Total Property Stolen & Recovered,5297,9626
Rajasthan,2009,7. Total Property Stolen & Recovered,4519,18178
Sikkim,2009,7. Total Property Stolen & Recovered,54,163
Tamil Nadu,2009,7. Total Property Stolen & Recovered,16645,21489
Tripura,2009,7. Total Property Stolen & Recovered,242,826
Uttar Pradesh,2009,7. Total Property Stolen & Recovered,8588,32243
Uttarakhand,2009,7. Total Property Stolen & Recovered,836,1791
